"intent_id","keyword"
1650358265,"สิทธิบัตรคืออะไร"
1650358265,"สอบถามสิทธิบัตร"
1650358265,"รายละเอียดของสิทธิบัตร"
1650358265,"ความหมายของสิทธิบัตร"
1650358265,"อธิบายสิทธิบัตร"
1650358265,"สิทธิบัตรมีกี่แบบ"
1650359775,"DIP e-Service"
1650359775,"แอพพลิเคชัน DIP e-Service"
1650359775,"ดาวน์โหลดแอพลิเคชัน DIP e-Service"
1650359775,"แอพIOS"
1650359775,"แอพAndroid"
1650359775,"AppIOS"
1650359775,"AppAndroid"
1650359841,"ส่งคำร้องเรียน"
1650359841,"ข้อเสนอแนะ"
1650359841,"ร้องเรียน"
1650429367,"ประวัติการก่อตั้ง"
1650429367,"ก่อตั้งเมื่อไหร่"
1650429367,"ก่อตั้งปีไหน"
1650429367,"ความเป็นมาของกรม"
1650429367,"กรมสร้างเมื่อไร"
1650431013,"ค่าธรรมเนียมสิทธิบัตร"
1650431013,"ค่าธรรมเนียมในการออกสิทธิบัตร"
1650431013,"ค่าใช้จ่ายในการขอสิทธิบัตร"
1650431013,"ค่าใช้จ่ายในการออกสิทธิบัตร"
1650431013,"ค่าใช้จ่ายของการออกสิทธิบัตร"
1650431013,"ทำสิทธิบัตรเท่าไหร่"
1651163955,"สิทธิบัตรการออกแบบผลิตภัณฑ์"
1651163993,"คุ้มครองกี่ปี"
1651163993,"อายุของสิทธิบัตร"
1651163993,"ระยะเวลาของสิทธิบัตร"
1651163993,"ระยะเวลาคุ้มครองของสิทธิบัตร"
1651163993,"จำนวนปีที่คุ้มครองของสิทธิบัตร"
1651163993,"จำนวนปีในการคุ้มครองของสิทธิบัตร"
1651163993,"ระยะเวลาคุ้มครองของสิทธิบัตร"
1651164500,"อัตราโทษการละเมิดลิขสิทธิ์"
1651164500,"โทษของการละเมิดลิขสิทธิ์"
1652238133,"กรมทรัพย์สินทางปัญญา สังกัดกระทรวงใด"
1652238196,"กรมทรัพย์สินทางปัญญาก่อตั้งเมื่อไร"
1652238249,"ค่านิยมของกรมทรัพย์สินทางปัญญากล่าวว่ายังไง"
1652238289,"ค่านิยมของกรมทรัพย์สินทางปัญญากล่าวว่ายังไง"
1652238461,"เดินทางไปกรมด้วยรถไฟฟ้าได้ไหม"
1652238461,"สามารถเดินทางไปกรมทรัพย์สินทางปัญญาได้อย่างไร"
1652238496,"กรมทรัพย์สินทางปัญญาอยู่จังหวัดไหน"
1652238636,"กรมทรัพย์สินทางปัญญาเปิดทำการถึงกี่โมง"
1652238636,"สามารถไปติดต่อกรมได้ตั้งแต่กี่โมง"
1652238636,"กรมทรัพย์สินทางปัญญาเปิดให้บริการทุกวันไหม"
1652238636,"สามารถโทรติดต่อกรมได้ในช่วงเวลาไหนบ้าง"
1652238636,"ติดต่อกรมได้เวลาไหนบ้าง"
1652239016,"สามารถโทรติดต่อกรมได้ที่เบอร์ไหน"
1652239052,"สายด่วนกรมทรัพย์สินทางปัญญาเบอร์อะไร"
1652239052,"สายด่วน"
1652239112,"สามารถส่งแฟกซ์ให้ทางกรมได้ที่เบอร์ไหน"
1652239112,"ส่งแฟกซ์"
1652239112,"แฟกซ์"
1652239112,"เบอร์แฟกซ์"
1652239177,"สามารถเข้าชมเว็บไซต์ของทางกรมได้ทางไหน"
1652239227,"กรมทรัพย์สินทางปัญญามีเพจ Facebook ไหม"
1652239277,"กรมทรัพย์สินทางปัญญามี Instagram ไหม"
1652239355,"กรมทรัพย์สินทางปัญญามีช่องทาง Twitter ไหม"
1652242078,"กรมทรัพย์สินทางปัญญามีช่อง Youtube ไหม"
1652242110,"เว็บไซต์กรมทรัพย์สินทางปัญญาคือเว็บอะไร"
1652242283,"ใช้ IOS สามารถดาวน์โหลดแอพลิเคชัน DIP e-Service ได้จากไหน"
1652242283,"แอพลิเคชัน DIP e-Service"
1652242283,"แอพลิเคชัน"
1652242326,"ใช้มือถือ Android สามารถดาวน์โหลดแอพลิเคชัน DIP e-Service ได้จากไหน"
1652242370,"สามารถดูภาพกิจกรรมของกรมได้ที่ไหน"
1652242399,"อยากสมัครงานที่กรมทรัพย์สินทางปัญญาต้องทำอย่างไร"
1652242437,"กรมทรัพย์สินทางปัญญาเปิดรับสมัครงานตำแหน่งไหนบ้าง"
1652242491,"สามารถส่งคำร้องเรียนให้กรมได้ทางไหนบ้าง"
1652242491,"มีข้อเสนอแนะต่อกรมต้องทำอย่างไร"
1652242529,"สามารถดาวน์โหลดโลโก้กรมทรัพย์สินทางปัญญาได้จากที่ไหน"
1652242543,"สามารถดูคู่มือการใช้งานโลโก้กรมทรัพย์สินทางปัญญาได้จากไหน"
1652243493,"สิทธิบัตร"
1652243493,"สอบถามสิทธิบัตร"
1652243616,"ลิขสิทธิ์"
1652244563,"สามารถดูรายนามอธิบดีกรมทรัพย์สินทางปัญญาตั้งแต่อดีตได้ที่ไหน"
1652244819,"ขั้นตอน ระยะเวลาจดทะเบียนเครื่องหมายการค้า"
1652244819,"ค่าธรรมเนียมยื่นจดเครื่องหมายการค้าในประเทศ"
1652244819,"คำขอจดทะเบียนเครื่องหมายการค้า สินค้ามากกว่า 5 อย่าง มีค่าธรรมเนียมเท่าไหร่"
1652244819,"คำขอแก้ไขเปลี่ยนแปลงรายการจดทะเบียนเครื่องหมายการค้า มีค่าธรรมเนียมเท่าไหร่"
1652244819,"คำขอจดทะเบียนเครื่องหมายบริการ มีค่าธรรมเนียมเท่าไหร่"
1652244819,"คำขอจดทะเบียนสัญญาอนุญาตให้ใช้เครื่องหมายการค้า มีค่าธรรมเนียมเท่าไหร่"
1652244819,"คำขอต่ออายุการจดทะเบียน มีค่าธรรมเนียมเท่าไหร่"
1652244819,"การขอตรวจดูทะเบียนเครื่องหมายการค้า มีค่าธรรมเนียมเท่าไหร่"
1652244819,"ค่าธรรมเนียมยื่นจดเครื่องหมายการค้าระหว่างประเทศ คือเท่าไหร่"
1652252031,"ขอช่องทางติดต่อผู้เชี่ยวชาญเฉพาะด้านทรัพย์สินทางปัญญาระหว่างประเทศ"
1652252031,"ขอช่องทางติดต่อผู้เชี่ยวชาญเฉพาะด้านกฎหมาย"
1652252031,"ขอช่องทางติดต่อผู้เชี่ยวชาญเฉพาะด้านลิขสิทธิ์"
1652252031,"ขอช่องทางติดต่อผู้เชี่ยวชาญเฉพาะด้านทรัพย์สินอุตสาหกรรม"
1652252031,"ขอช่องทางติดต่อผู้เชี่ยวชาญเฉพาะด้านสิทธิบัตร"
1652252941,"ทรัพย์สินทางปัญญา มีกี่ประเภท"
1652253004,"องค์การทรัพย์สินทางปัญญาโลก คืออะไร"
1652253141,"องค์การทรัพย์สินทางปัญญาโลก ทำหน้าที่อะไร"
1652253183,"วันทรัพย์สินทางปัญญาโลก ตรงกับวันใด"
1652253237,"ดูผลการดำเนินงานของกรมทรัพย์สินทางปัญญาได้ทางไหน"
1652253279,"ต้องการข้อมูลรายงานประจำปีของกรมทรัพย์สินทางปัญญา สามารถดูได้ทางใด"
1652256335,"ข้อจำกัดและข้อยกเว้นเกี่ยวกับงานลิขสิทธิ์มีอะไรบ้าง"
1652256457,"หากแจ้งข้อมูลลิขสิทธิ์ต่อกรมทรัพย์สินทางปัญญาจะถือเป็นการรับรองสิทธิ์ไหม"
1652256844,"งานลิขสิทธิ์จะต้องเป็นงานที่ริเริ่มสร้างสรรค์ด้วยตนเอง ใช่หรือไม่"
1652256844,"งานลิขสิทธิ์จะต้องมีลักษณะเข้าข่ายตามประเภทของงานที่กฎหมายลิขสิทธิ์รับรอง ใช่หรือไม่"
1652256844,"งานลิขสิทธิ์จะต้องเป็นงานที่ไม่ขัดต่อกฎหมายและศีลธรรมอันดี ใช่หรือไม่"
1652259379,"ถูกละเมิดลิขสิทธิ์ ต้องทำอย่างไร"
1652260264,"ผลงานที่ไม่ใช่ผลงานลิขสิทธิ์ มีอะไรบ้าง"
1652260562,"กรณีที่มีเจ้าของผลงานหลายคน ลิขสิทธิ์จะคุ้มครองผลงานกี่ปี"
1652260580,"หากบริษัทเป็นเจ้าของผลงาน ลิขสิทธิ์จะคุ้มครองผลงานกี่ปี"
1652260737,"กรณีที่เจ้าของผลงานไม่ได้ชื่อจริง ในการจดลิขสิทธ์จะสามารถคุ้มครองได้หรือไม่"
1652260755,"ภาพยนตร์ ลิขสิทธิ์สามารถคุ้มครองได้กี่ปี"
1652260771,"หากเป็นผลงานที่ถูกจ้างโดยทางกรม จะสามารถจดลิขสิทธิ์และคุมครองได้กี่ปี"
1652260785,"งานศิลปะประยุกต์ มีความคุ้มครองกี่ปี"
1652260801,"ภาพถ่าย ลิขสิทธิ์สามารถคุ้มครองได้กี่ปี"
1652262105,"ต้องการดูข้อมูลอัตราการจัดเก็บค่าลิขสิทธิ์"
1652262123,"ต้องการดูรายชื่อเพลงที่จัดเก็บค่าลิขสิทธิ์ทั้งหมด"
1652262139,"ต้องการดูรายชื่อเพลงสากลที่จัดเก็บค่าลิขสิทธิ์"
1652262154,"ต้องการดูรายชื่อเพลงสากลที่จัดเก็บค่าลิขสิทธิ์ของบริษัท อินเตอร์ มิวสิค ก๊อปปี้ไรท์ จำกัด"
1652262176,"ต้องการดูรายชื่อเพลงสากลที่จัดเก็บค่าลิขสิทธิ์ของบริษัท เอ็มพีซี มิวสิค จำกัด"
1652262238,"ต้องการดูรายชื่อเพลงสากลที่จัดเก็บค่าลิขสิทธิ์ของบริษัท โฟโนไรทส์ (ไทยแลนด์) จำกัด"
1652262258,"ต้องการดูรายชื่อเพลงสากลที่จัดเก็บค่าลิขสิทธิ์ของบริษัท ลิขสิทธิ์ดนตรี (ประเทศไทย) จำกัด"
1652262302,"ต้องการดูข้อมูลและมาตรการเกี่ยวกับการจัดเก็บค่าลิขสิทธิ์เพลงปี 2563"
1652262302,"ต้องการดูข้อมูลและมาตรการเกี่ยวกับการจัดเก็บค่าลิขสิทธิ์เพลงปี 2562"
1652262341,"ต้องการดูรายชื่อเพลงสากลที่จัดเก็บค่าลิขสิทธิ์ของบริษัท ดิจิทัล เอนเทอเทนเม้นท์ เอ็กซ์เปอร์ท จำกัด"
1652262438,"ต้องการดูมาตรการความช่วยเหลือผู้ใช้งานลิขสิทธิ์เพลงในพื้นที่ 3 จังหวัดชายแดนภาคใต้"
1652262438,"ต้องการทราบข้อมูลการจัดเก็บค่าลิขสิทธิ์เพลงได้จากที่ไหน"
1652262518,"ต้องการตัวแทนในการดำเนินคดีละเมิดสิทธิ์สามารถติดต่อได้ที่ไหน"
1652262518,"ต้องการตัวแทนดำเนินคดีละเมิดลิขสิทธิ์เกี่ยวกับผลงานเพลงต้องติดต่อที่ไหน"
1652262518,"ทางกรมสามารถหาตัวแทนในการดำเนินคดีละเมิดสิทธิ์ให้ได้ไหม"
1652262518,"เราสามารถหาตัวแทนมาช่วยในการดำเนินคดีละเมิดสิทธิ์"
1652262535,"อยากทราบรายละเอียดการใช้งานลิขสิทธิ์ที่เป็นธรรม สามารถดูได้ทางไหน"
1652262548,"หากเป็นผลงานที่ไม่ใช่ผลงานลิขสิทธิ์ผู้อื่นก็สามารถนำผลงานของเราไปใช้ได้ใช่ไหม"
1652262646,"ในการแจ้งลิขสิทธิ์ สำนักลิขสิทธิ์จะทำการแจ้งภายในกี่วัน"
1652262646,"หากต้องแก้ไขคำของแจ้งข้อมูลลิขสิทธิ์ ต้องแก้ไขภายในกี่วัน"
1652262698,"หากไม่ได้แก้ไขคำของแจ้งข้อมูลลิขสิทธิ์ จะส่งผลยังไง"
1652262711,"ในการกรอกข้อมูลแจ้งข้อมูลลิขสิทธิ์ชื่อตัวแทนต้องกรอกอย่างไร"
1652262784,"ในการกรอกข้อมูลแจ้งข้อมูลลิขสิทธิ์ชื่อผู้สร้างสรรค์หรือนามแฝงต้องกรอกอย่างไร"
1652262784,"ในการกรอกข้อมูลแจ้งข้อมูลลิขสิทธิ์ชื่อผู้สร้างสรรค์ร่วมหรือนามแฝงต้องกรอกอย่างไร"
1652262800,"ในการกรอกข้อมูลแจ้งข้อมูลลิขสิทธิ์ประเภทผลงานต้องกรอกอย่างไร"
1652262871,"ในการกรอกข้อมูลแจ้งข้อมูลลิขสิทธิ์ลักษณะการสร้างสรรค์ ต้องกรอกอย่างไร"
1652262909,"ในการกรอกข้อมูลแจ้งข้อมูลลิขสิทธิ์การโฆษณา ต้องกรอกอย่างไร"
1652262919,"ในการกรอกข้อมูลแจ้งข้อมูลการอนุญาตให้ใช้ลิขสิทธิ์/ โอนลิขสิทธิ์  ต้องกรอกอย่างไร"
1652262956,"สามารถตรวจสอบรายการสินค้าและบริการสำหรับยื่นจดในต่างประเทศได้ทางไหน"
1652262977,"ในการกรอกข้อมูลแจ้งข้อมูลการเผยแพร่ข้อมูลลิขสิทธิ์  ต้องกรอกอย่างไร"
1652262993,"ในการกรอกข้อมูลแจ้งข้อมูลสถานที่สร้างสรรค์  ต้องกรอกอย่างไร"
1652263047,"ในการกรอกข้อมูลแจ้งข้อมูลชื่อผลงาน  ต้องกรอกอย่างไร"
1652263084,"ในการกรอกข้อมูลแจ้งข้อมูลการแจ้ง/จดทะเบียนลิขสิทธิ์ในต่างประเทศ  ต้องกรอกอย่างไร"
1652263619,"ในการยื่นคำขอแจ้งข้อมูลลิขสิทธิ์ใบต่อท้ายคำขอแจ้งข้อมูลลิขสิทธิ์ ต้องกรอกอย่างไร"
1652263635,"ในการยื่นคำขอแจ้งข้อมูลลิขสิทธิ์แบบแสดงรายละเอียดเกี่ยวกับการสร้างสรรค์ผลงาน ต้องกรอกอย่างไร"
1652263671,"ในการยื่นคำขอแจ้งข้อมูลลิขสิทธิ์หนังสือรับรองความเป็นเจ้าของงานลิขสิทธิ์ ต้องกรอกอย่างไร"
1652263686,"ในการยื่นคำขอแจ้งข้อมูลลิขสิทธิ์ต้องใช้เอกสารหลักฐานประกอบอะไรบ้าง"
1652263730,"สามารถดาวน์โหลดตัวอย่าง หนังสือรับรองการเเจ้งข้อมูลลิขสิทธิ์ได้ยังไง"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาว่าจ้างศิลปินเฉพาะคราวได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างว่าจ้างศิลปินเข้าสังกัดได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้ลิขสิทธิ์งานวรรณกรรมระหว่างนักเขียนกับสำนักพิมพ์ได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาแปลงานวรรณกรรมระหว่างนักแปลกับสำนักพิมพ์ได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้ลิขสิทธิ์งานวรรณกรรมได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้สิทธิงานดนตรีกรรม(คำร้อง)ได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้สิทธิงานดนตรีกรรม(ทำนอง)ได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้งานลิขสิทธิงานดนตรีกรรม(ทำซ้ำและเรียบเรียงเสียงประสาน)ได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้สิทธิงานโปรแกรมคอมพิวเตอร์(Shrink Wrap License)ได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้สิทธิงานโปรแกรมคอมพิวเตอร์(โดยคู่สัญญาลงนามทั้งสองฝ่าย)ได้ที่ไหน"
1652263871,"สามารถดาวน์โหลดตัวอย่างสัญญาอนุญาตให้ใช้สิทธิงานดนตรีกรรม(คำร้องและทำนอง)ได้ที่ไหน"
1652324327,"ขั้นตอนการต่ออายุเครื่องหมายการค้า มีอะไรบ้าง"
1652324327,"ขั้นตอนการต่ออายุเครื่องหมายการค้า"
1652326028,"การต่ออายุเครื่องหมายการค้าแบบเร่งด่วน (Renewal Fast Track) ต้องดำเนินการอย่างไร"
1652407389,"อัตราโทษการปลอมเครื่องหมายการค้าของบุคคลอื่นคืออะไร"
1652408271,"ค่าธรรมเนียมสิทธิบัตรการออกแบบผลิตภัณฑ์ในประเทศเท่าไหร่"
